id,title,text,label
43,Chocolate cures all diseases,Eyewitnesses report incredible event that defies science.,FAKE
44,City park renovation completed,Authorities report updates on ongoing city projects.,REAL
45,Man grows third arm overnight,Unbelievable story that experts cannot explain.,FAKE
46,Stock market hits record high,The event was organized to benefit the local community.,REAL
47,Time travel device unveiled,Researchers claim impossible phenomenon observed in lab.,FAKE
48,New public transport route launched,Scientists published new findings in a peer-reviewed journal.,REAL
49,Scientists discover unicorn DNA,Residents shocked by discovery that seems unreal.,FAKE
50,Scientists discover new species of bird,Officials confirmed the progress and completion of the project.,REAL
51,Moon made of cheese confirmed,A new study shows results that contradict known science.,FAKE
52,Mayor announces housing plan,Authorities report updates on ongoing city projects.,REAL
53,Dinosaurs cloned successfully,Eyewitnesses report incredible event that defies science.,FAKE
54,School wins national science competition,The event was organized to benefit the local community.,REAL
55,Invisibility cloak invented,Unbelievable story that experts cannot explain.,FAKE
56,Hospital opens new wing,Scientists published new findings in a peer-reviewed journal.,REAL
57,Mermaids found in Atlantic Ocean,Researchers claim impossible phenomenon observed in lab.,FAKE
58,Community garden initiative succeeds,Officials confirmed the progress and completion of the project.,REAL
59,Robot becomes president,Residents shocked by discovery that seems unreal.,FAKE
60,New technology improves crop yield,Authorities report updates on ongoing city projects.,REAL
61,Aliens spotted in city park,A new study shows results that contradict known science.,FAKE
62,Local library opens new branch,The event was organized to benefit the local community.,REAL
63,Chocolate cures all diseases,Unbelievable story that experts cannot explain.,FAKE
64,City park renovation completed,Scientists published new findings in a peer-reviewed journal.,REAL
65,Man grows third arm overnight,Eyewitnesses report incredible event that defies science.,FAKE
66,Stock market hits record high,Officials confirmed the progress and completion of the project.,REAL
67,Time travel device unveiled,Researchers claim impossible phenomenon observed in lab.,FAKE
68,New public transport route launched,Authorities report updates on ongoing city projects.,REAL
69,Scientists discover unicorn DNA,Unbelievable story that experts cannot explain.,FAKE
70,Scientists discover new species of bird,The event was organized to benefit the local community.,REAL
71,Moon made of cheese confirmed,Residents shocked by discovery that seems unreal.,FAKE
72,Mayor announces housing plan,Scientists published new findings in a peer-reviewed journal.,REAL
73,Dinosaurs cloned successfully,Researchers claim impossible phenomenon observed in lab.,FAKE
74,School wins national science competition,Officials confirmed the progress and completion of the project.,REAL
75,Invisibility cloak invented,A new study shows results that contradict known science.,FAKE
76,Hospital opens new wing,Authorities report updates on ongoing city projects.,REAL
77,Mermaids found in Atlantic Ocean,Unbelievable story that experts cannot explain.,FAKE
78,Community garden initiative succeeds,The event was organized to benefit the local community.,REAL
79,Robot becomes president,Researchers claim impossible phenomenon observed in lab.,FAKE
80,New technology improves crop yield,Scientists published new findings in a peer-reviewed journal.,REAL
81,Aliens spotted in city park,Residents shocked by discovery that seems unreal.,FAKE
82,Local library opens new branch,Officials confirmed the progress and completion of the project.,REAL
83,Chocolate cures all diseases,A new study shows results that contradict known science.,FAKE
84,City park renovation completed,Authorities report updates on ongoing city projects.,REAL
85,Man grows third arm overnight,Unbelievable story that experts cannot explain.,FAKE
86,Stock market hits record high,The event was organized to benefit the local community.,REAL
87,Time travel device unveiled,Researchers claim impossible phenomenon observed in lab.,FAKE
88,New public transport route launched,Scientists published new findings in a peer-reviewed journal.,REAL
89,Scientists discover unicorn DNA,Residents shocked by discovery that seems unreal.,FAKE
90,Scientists discover new species of bird,Officials confirmed the progress and completion of the project.,REAL
91,Moon made of cheese confirmed,Unbelievable story that experts cannot explain.,FAKE
92,Mayor announces housing plan,Authorities report updates on ongoing city projects.,REAL
93,Dinosaurs cloned successfully,A new study shows results that contradict known science.,FAKE
94,School wins national science competition,The event was organized to benefit the local community.,REAL
95,Invisibility cloak invented,Researchers claim impossible phenomenon observed in lab.,FAKE
96,Hospital opens new wing,Scientists published new findings in a peer-reviewed journal.,REAL
97,Mermaids found in Atlantic Ocean,Eyewitnesses report incredible event that defies science.,FAKE
98,Community garden initiative succeeds,Officials confirmed the progress and completion of the project.,REAL
99,Robot becomes president,Unbelievable story that experts cannot explain.,FAKE
100,New technology improves crop yield,Authorities report updates on ongoing city projects.,REAL
